TipType	TipTemplateId	Notice	zh_CN	en_US	pt_BR	ru_RU	ko_KR	de_DE	fr_FR	es_ES	it_IT	in_ID	th_TH	tr_TR	vi_VN	ja_JP
20056	CreepyAliensCongratulation		▢FFFFD700恭喜你们通关了，成为最强守卫者	▢FFFFD700Congratulations on your clearance and become the strongest defenders	▢FFFFD700Congratulations on your clearance and become the strongest defenders	▢FFFFD700Congratulations on your clearance and become the strongest defenders	▢FFFFD700Congratulations on your clearance and become the strongest defenders	▢FFFFD700Congratulations on your clearance and become the strongest defenders	▢FFFFD700Congratulations on your clearance and become the strongest defenders	▢FFFFD700Congratulations on your clearance and become the strongest defenders	▢FFFFD700Congratulations on your clearance and become the strongest defenders	▢FFFFD700Congratulations on your clearance and become the strongest defenders	▢FFFFD700Congratulations on your clearance and become the strongest defenders	▢FFFFD700Congratulations on your clearance and become the strongest defenders	▢FFFFD700Congratulations on your clearance and become the strongest defenders	▢FFFFD700Congratulations on your clearance and become the strongest defenders
20057	CreepyAliensFailed		▢FFFF0000很遗憾，你们失败了，请下次再接再厉	▢FFFF0000Sorry that you have failed. Defeat alien monsters next time.	▢FFFF0000Sorry that you have failed. Defeat alien monsters next time.	▢FFFF0000Sorry that you have failed. Defeat alien monsters next time.	▢FFFF0000Sorry that you have failed. Defeat alien monsters next time.	▢FFFF0000Sorry that you have failed. Defeat alien monsters next time.	▢FFFF0000Sorry that you have failed. Defeat alien monsters next time.	▢FFFF0000Sorry that you have failed. Defeat alien monsters next time.	▢FFFF0000Sorry that you have failed. Defeat alien monsters next time.	▢FFFF0000Sorry that you have failed. Defeat alien monsters next time.	▢FFFF0000Sorry that you have failed. Defeat alien monsters next time.	▢FFFF0000Sorry that you have failed. Defeat alien monsters next time.	▢FFFF0000Sorry that you have failed. Defeat alien monsters next time.	▢FFFF0000Sorry that you have failed. Defeat alien monsters next time.
20058	CreepyAliensHasBuy		▢FFFF0000你已经购买过该商品了	▢FFFF0000You have already purchased this product	▢FFFF0000You have already purchased this product	▢FFFF0000You have already purchased this product	▢FFFF0000You have already purchased this product	▢FFFF0000You have already purchased this product	▢FFFF0000You have already purchased this product	▢FFFF0000You have already purchased this product	▢FFFF0000You have already purchased this product	▢FFFF0000You have already purchased this product	▢FFFF0000You have already purchased this product	▢FFFF0000You have already purchased this product	▢FFFF0000You have already purchased this product	▢FFFF0000You have already purchased this product
20059	CreepyAliensPlace		废弃工厂	Discard Factory	Discard Factory	Discard Factory	Discard Factory	Discard Factory	Discard Factory	Discard Factory	Discard Factory	Discard Factory	Discard Factory	Discard Factory	Discard Factory	Discard Factory
20060	CreepyAliensPlace		冬泉小镇	Winterspring Town	Winterspring Town	Winterspring Town	Winterspring Town	Winterspring Town	Winterspring Town	Winterspring Town	Winterspring Town	Winterspring Town	Winterspring Town	Winterspring Town	Winterspring Town	Winterspring Town
20061	CreepyAliensPlace		月色森林	Moonlight Forest	Moonlight Forest	Moonlight Forest	Moonlight Forest	Moonlight Forest	Moonlight Forest	Moonlight Forest	Moonlight Forest	Moonlight Forest	Moonlight Forest	Moonlight Forest	Moonlight Forest	Moonlight Forest
10001	EggWar	龙蛋战争	龙蛋战争	eggWar												
10002	EggWarHighestLevel	最高等级	%1s级%2s,产出速率%3s个/%4s秒。已到达最高等级	%1s级%2s,产出速率%3s个/%4s秒。已到达最高等级												
10003	EggWarUpgrade	升级需要	%1s级%2s,产出速率%3s个/%4s秒。升级需要	%1s级%2s,产出速率%3s个/%4s秒。升级需要												
10004	EggWarIron		铁点	Iron mine												
10005	EggWarGold		金点	Gold mine												
10006	EggWarDiamond		钻石点	Diamond mine												
20062	CreepyAliensPrepareHint		▢FF00FF00距离刷怪还有▢FFFF0000%1s秒	▢FF00FF00It`s▢FFFF0000%1s sec ▢FF00FF00before next wave	▢FF00FF00It·s▢FFFF0000%1s sec before next wave	▢FF00FF00It·s▢FFFF0000%1s sec before next wave	▢FF00FF00It·s▢FFFF0000%1s sec before next wave	▢FF00FF00It·s▢FFFF0000%1s sec before next wave	▢FF00FF00It·s▢FFFF0000%1s sec before next wave	▢FF00FF00It·s▢FFFF0000%1s sec before next wave	▢FF00FF00It·s▢FFFF0000%1s sec before next wave	▢FF00FF00It·s▢FFFF0000%1s sec before next wave	▢FF00FF00It·s▢FFFF0000%1s sec before next wave	▢FF00FF00It·s▢FFFF0000%1s sec before next wave	▢FF00FF00It·s▢FFFF0000%1s sec before next wave	▢FF00FF00It·s▢FFFF0000%1s sec before next wave
10001	EggWar	龙蛋战争	龙蛋战争	Egg War	Egg War	Egg War	Egg War	Egg War	Egg War	Egg War	Egg War	Egg War	Egg War	Egg War	Egg War	Egg War
10002	EggWarHighestLevel	最高等级	当前%1s级%2s，每%4s秒产出%3s个。已到达最高等级	%2s at Lv %1s, %3s items every %4s seconds. Level Max	%2s at Lv %1s, %3s items every %4s seconds. Level Max	%2s at Lv %1s, %3s items every %4s seconds. Level Max	%2s at Lv %1s, %3s items every %4s seconds. Level Max	%2s at Lv %1s, %3s items every %4s seconds. Level Max	%2s at Lv %1s, %3s items every %4s seconds. Level Max	%2s at Lv %1s, %3s items every %4s seconds. Level Max	%2s at Lv %1s, %3s items every %4s seconds. Level Max	%2s at Lv %1s, %3s items every %4s seconds. Level Max	%2s at Lv %1s, %3s items every %4s seconds. Level Max	%2s at Lv %1s, %3s items every %4s seconds. Level Max	%2s at Lv %1s, %3s items every %4s seconds. Level Max	%2s at Lv %1s, %3s items every %4s seconds. Level Max
10003	EggWarUpgrade	升级需要	当前%1s级%2s，每%4s秒产出%3s个。升级需要	%2s at Lv %1s, %3s items every %4s seconds. Upgrade costs	%2s at Lv %1s, %3s items every %4s seconds. Upgrade costs	%2s at Lv %1s, %3s items every %4s seconds. Upgrade costs	%2s at Lv %1s, %3s items every %4s seconds. Upgrade costs	%2s at Lv %1s, %3s items every %4s seconds. Upgrade costs	%2s at Lv %1s, %3s items every %4s seconds. Upgrade costs	%2s at Lv %1s, %3s items every %4s seconds. Upgrade costs	%2s at Lv %1s, %3s items every %4s seconds. Upgrade costs	%2s at Lv %1s, %3s items every %4s seconds. Upgrade costs	%2s at Lv %1s, %3s items every %4s seconds. Upgrade costs	%2s at Lv %1s, %3s items every %4s seconds. Upgrade costs	%2s at Lv %1s, %3s items every %4s seconds. Upgrade costs	%2s at Lv %1s, %3s items every %4s seconds. Upgrade costs
10004	EggWarIron		铁点	Iron	Iron	Iron	Iron	Iron	Iron	Iron	Iron	Iron	Iron	Iron	Iron	Iron
10005	EggWarGold		金点	Gold	Gold	Gold	Gold	Gold	Gold	Gold	Gold	Gold	Gold	Gold	Gold	Gold
10006	EggWarDiamond		钻石点	Diamond	Diamond	Diamond	Diamond	Diamond	Diamond	Diamond	Diamond	Diamond	Diamond	Diamond	Diamond	Diamond
10007	EggWarBreakEgg		%1s▢FFFFFFFF队的龙蛋已经被破坏，破坏者是%2s。▥	▢FFFFFFFFThe Dragon egg of team %1s ▢FFFFFFFFhas been destroyed by team %2s.▥	▢FFFFFFFFThe Dragon egg of team %1s ▢FFFFFFFFhas been destroyed by team %2s.▥	▢FFFFFFFFThe Dragon egg of team %1s ▢FFFFFFFFhas been destroyed by team %2s.▥	▢FFFFFFFFThe Dragon egg of team %1s ▢FFFFFFFFhas been destroyed by team %2s.▥	▢FFFFFFFFThe Dragon egg of team %1s ▢FFFFFFFFhas been destroyed by team %2s.▥	▢FFFFFFFFThe Dragon egg of team %1s ▢FFFFFFFFhas been destroyed by team %2s.▥	▢FFFFFFFFThe Dragon egg of team %1s ▢FFFFFFFFhas been destroyed by team %2s.▥	▢FFFFFFFFThe Dragon egg of team %1s ▢FFFFFFFFhas been destroyed by team %2s.▥	▢FFFFFFFFThe Dragon egg of team %1s ▢FFFFFFFFhas been destroyed by team %2s.▥	▢FFFFFFFFThe Dragon egg of team %1s ▢FFFFFFFFhas been destroyed by team %2s.▥	▢FFFFFFFFThe Dragon egg of team %1s ▢FFFFFFFFhas been destroyed by team %2s.▥	▢FFFFFFFFThe Dragon egg of team %1s ▢FFFFFFFFhas been destroyed by team %2s.▥	▢FFFFFFFFThe Dragon egg of team %1s ▢FFFFFFFFhas been destroyed by team %2s.▥
20063	CreepyAliensRespawn		▢FF00FF00你已死亡，将在下一波自动复活	▢FF00FF00You are dead and will respawn next wave												
20064	FlagWarName	夺旗大战	夺旗大战	夺旗大战												
20065	FlagWarSelectRole		▢FF00FF00你有▢FFFF0000%1s秒▢FF00FF00的时间选择职业，请尽快选择自己的职业	▢FF00FF00你有▢FFFF0000%1s秒▢FF00FF00的时间选择职业，请尽快选择自己的职业												
20066	FlagWarSelectRoleTime		▢FF00FF00距离选择职业结束还有▢FFFF0000%1s秒	▢FF00FF00距离选择职业结束还有▢FFFF0000%1s秒												
